Creator_ID,Channel_Name,Handle,Platform,Category,Content_Type,Country,Followers,Avg_Views,Monthly_Views,Engagement_Rate,Nox_Score,Target_Age,Target_Gender,Estimated_CPM,Upload_Per_Month,Views_Trend_6M,Last_Upload_Date,Controversy_Flag,Ad_Content_Ratio,Risk_Score,Creator_Tier,Collab_Type_Pref,Created_At,Daily_Views,Thumbnail_URL,Channel_ID,Channel_URL
CR_YT_0001,김프로KIMPRO,@yt_ucivs2pn,YouTube,엔터테인먼트,브이로그,Korea,130000000,34900741,628213338,6.43,2.7,18-34,Mixed,13437.0,2,상승,2026-01-08,없음,11,4.5,메가,브랜디드콘텐츠,2026-06-13,16290236,https://yt3.ggpht.com/61lpQx0TizD-UeJSv10975lLAt09xRHu0T8cz_6LnLGFwA_5L-Vz-Qa_GOXsthdkh8G7jXv1oQ=s240-c-k-c0x00ffffff-no-rj,UCiVs2pnGW5mLIc1jS2nxhjg,https://www.youtube.com/channel/UCiVs2pnGW5mLIc1jS2nxhjg
CR_YT_0002,BLACKPINK,@yt_ucomhun-,YouTube,엔터테인먼트,예능,Korea,100000000,63333333,569999997,4.54,2.1,18-34,Mixed,7014.0,2,유지,2026-04-19,없음,39,3.7,메가,브랜디드콘텐츠,2026-06-13,16207884,https://yt3.ggpht.com/U3VrCkKjzTpQ3VYv4SCPjNfDHeJV-swGNnhLYhr0nV4lZz_GVUNzK4EB-HFRfKv9S5VNh14uAg=s240-c-k-c0x00ffffff-no-rj,UCOmHUn--16B90oW2L6FRR3A,https://www.youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A
CR_YT_0003,BANGTANTV,@yt_uclkaepw,YouTube,엔터테인먼트,리액션,Korea,84000000,9161974,119105662,2.22,4.3,18-34,Mixed,5705.0,1,유지,2026-04-28,없음,10,4.0,메가,브랜디드콘텐츠,2026-06-13,3551373,https://yt3.ggpht.com/lFkJ8u633H3Cdk_vs9Oio2gqTDYqsjU-Oj-G62uzVEjONaF4webUp-H_5gDbkKHw3OUUEGMHig=s240-c-k-c0x00ffffff-no-rj,UCLkAepWjdylmXSltofFvsYQ,https://www.youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ
CR_YT_0004,HYBE LABELS,@yt_uc3izkse,YouTube,엔터테인먼트,버라이어티,Korea,81400000,13983616,223737856,7.88,2.2,18-34,Mixed,10716.0,4,상승,2026-01-21,없음,28,4.7,메가,PPL,2026-06-13,5872211,https://yt3.ggpht.com/ytc/AIdro_l8g0yRFG8xoe_qeqk8Ki9UFy36cB2IjZEWZWz0h7gl-t0=s240-c-k-c0x00ffffff-no-rj,UC3IZKseVpdzPSBaWxBxundA,https://www.youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA
CR_YT_0005,BeatboxJCOP,@yt_ucdx5kxi,YouTube,엔터테인먼트,예능,Korea,49200000,17916945,197086395,3.54,3.4,18-34,Mixed,5651.0,20,유지,2026-05-17,없음,28,4.7,메가,브랜디드콘텐츠,2026-06-13,8583365,https://yt3.ggpht.com/49iW-jgJ4MOWR0DqF17gXU8mwE8eEEkpKF4mUe_gmjPVRdKUJvKuXv1WpY4sZSdvl1kkFXVAoCA=s240-c-k-c0x00ffffff-no-rj,UCdX5KXiCTPYWYZscfphgQ4g,https://www.youtube.com/channel/UCdX5KXiCTPYWYZscfphgQ4g
CR_YT_0006,SMTOWN,@yt_ucef_bc-,YouTube,엔터테인먼트,버라이어티,Korea,33600000,7115672,135197768,4.2,2.8,18-34,Mixed,5202.0,16,상승,2026-03-22,없음,40,4.2,메가,브랜디드콘텐츠,2026-06-13,3926898,https://yt3.ggpht.com/42gxi39XmaHVEYxeuzdXitmJ_ig7QGPHczWLt2oPLG0g7AzuIWnNhYzSBXxAaQmPiVSM7Fi6=s240-c-k-c0x00ffffff-no-rj,UCEf_Bc-KVd7onSeifS3py9g,https://www.youtube.com/channel/UCEf_Bc-KVd7onSeifS3py9g
CR_YT_0007,CuRe 구래,@yt_ucklnhzz,YouTube,엔터테인먼트,버라이어티,Korea,33200000,32120000,449680000,2.19,4.8,18-34,Mixed,7739.0,16,유지,2026-02-05,없음,25,5.0,메가,PPL,2026-06-13,13301813,https://yt3.ggpht.com/ESeFH2AUcsxtnfxFOPxL3OBkZzpLmxF39-NAjXM5DiVj7qcVvL-2Wt6DINB0RjHAKzJdNEiJ=s240-c-k-c0x00ffffff-no-rj,UCkLNHZZsC3LKdUAroKNwOOw,https://www.youtube.com/channel/UCkLNHZZsC3LKdUAroKNwOOw
CR_YT_0008,JYP Entertainment,@yt_ucao6tyt,YouTube,엔터테인먼트,브이로그,Korea,31800000,9896564,108862204,4.81,4.2,18-34,Mixed,14961.0,8,상승,2026-01-13,없음,30,4.7,메가,브랜디드콘텐츠,2026-06-13,4432478,https://yt3.ggpht.com/2gb_g-qmLOeU6ZC3xyEPFN-fxDqkOkqr44TapTNi6iKQfLL13nOK6kuPWtYVTMPuiyT2tcb64A=s240-c-k-c0x00ffffff-no-rj,UCaO6TYtlC8U5ttz62hTrZgg,https://www.youtube.com/channel/UCaO6TYtlC8U5ttz62hTrZgg
CR_YT_0009,승비니 Seungbini,@yt_ucphhbet,YouTube,엔터테인먼트,리액션,Korea,30600000,39389204,354502836,1.78,4.0,18-34,Mixed,9140.0,12,유지,2026-01-30,없음,9,5.0,메가,브랜디드콘텐츠,2026-06-13,9535995,https://yt3.ggpht.com/Cx0TUP3z02QzKLn1wmsC5lMjdTBpUyWJR9Lq1UWxNRPWWv831PU3InakSa3e8acadB8uDLhyEy4=s240-c-k-c0x00ffffff-no-rj,UCPhHBEtG6dVZ5fJKoNArcJw,https://www.youtube.com/channel/UCPhHBEtG6dVZ5fJKoNArcJw
CR_YT_0010,ToyPuddingTV,@yt_uckqx9r4,YouTube,엔터테인먼트,리액션,Korea,27600000,6934487,124820766,6.51,4.3,18-34,Mixed,2793.0,4,상승,2026-05-10,없음,12,5.0,메가,브랜디드콘텐츠,2026-06-13,5489417,https://yt3.ggpht.com/WwL0MoSxSNdowQuelCyjEbYgKIHmEzzfTzsRlW3sGGb5orRtneREgfd7PtVqdwGZIxw8IBe_LfA=s240-c-k-c0x00ffffff-no-rj,UCKqx9r4mrFglauNBJc1L_eg,https://www.youtube.com/channel/UCKqx9r4mrFglauNBJc1L_eg
